count,source,city,state,zip code,latitude,longitude,circulation,scope
1,KOMO-TV Seattle on MSN.com,Seattle,Washington,98109,47.6321444,-122.3539681,no data,no data
1,KONP.COM 1450,Newport,Oregon,97366,44.57991025,-124.0585946,no data,no data
1,KOTA TV,Seattle,Washington,98109,47.6222,-122.337,no data,no data
1,KPAX-TV,Missoula,Montana,no data,46.8701049,-113.995267,no data,no data
1,KPCNews,Newark,New Jersey,7175,40.7357,-74.1724,no data,no data
1,KPVI,North Meadows Road,Idaho,no data,42.9207483,-112.3463644,no data,no data
1,KSTP-TV,Saint Paul,Minnesota,no data,44.9497487,-93.0931028,no data,no data
1,KSWO,Stillwater,Oklahoma,74075,36.16188335,-97.08746807,no data,no data
1,KSWO ABC 7 News,Stillwater,Oklahoma,74075,36.16188335,-97.08746807,no data,no data
1,KTOO,Egan Drive,Alaska,99801,58.29954175,-134.4145312,no data,no data
1,KTRS | St Louis News and Talk Radio | The Big 550 AM,Tower Hill Road,Wyoming,no data,42.7435755,-106.3078024,no data,no data
1,KTTS,Ashburn,Virginia,20149,39.0438,-77.4874,no data,no data
1,KTVQ,Billings,Montana,no data,45.7874957,-108.49607,no data,no data
1,KVIA El Paso,El Paso,Texas,79902,31.7876079,-106.4802648,no data,no data
1,KVOE,Emporia,Kansas,66801,38.3861257,-96.1769403,no data,no data
1,KVUE on MSN.com,Austin,Texas,78757,30.365429,-97.73793162,no data,no data
1,KWLM (Willmar Radio),Willmar,Minnesota,56201,45.1219492,-95.0435373,no data,no data
1,KXII,no data,Texas,no data,36.2452294,-101.8858689,no data,no data
1,KXII-TV,OK 99;US 377,Oklahoma,no data,34.0328763,-96.8002804,no data,no data
1,KXLF Butte News,Continental Divide Trail,Montana,no data,46.0069411,-112.4426805,no data,no data
1,KYMA,San Francisco,California,94108,37.7922,-122.406,no data,no data
1,Kaiser Health News,Kaiser,Missouri,65056,38.1336451,-92.5899056,no data,no data
1,Kankakee Daily Journal,Kankakee,Illinois,60901,41.119051,-87.86233837,no data,no data
1,Kansas City Sta,Kansas City,Missouri,64161,39.15013465,-94.4843253,no data,no data
1,Kansas City Star on MSN.com,no data,no data,Kansas,38.27312,-98.5821872,no data,no data
1,Karen Civil,Karen,Texas,no data,30.2563221,-95.7016133,no data,no data
1,Kearney Hub,no data,Nebraska,no data,40.4906216,-98.9472344,no data,no data
1,Kendall County Now,Kendall Lakes,Florida,33186,25.6855311,-80.4221207,no data,no data
1,Kenosha News,Kenosha,Wisconsin,53142,42.5750096,-87.885013,no data,no data
1,Kentucky New Era,no data,no data,Kentucky,37.5726028,-85.1551411,no data,no data
1,Kern Golden Empire,Ridgecrest,California,93555,35.6220267,-117.6860845,no data,no data
1,Khaleej Times,no data,no data,no data,,,no data,no data
1,Knoxville WVLT-TV on MSN.com,Knoxville,East Tennessee,Tennessee,35.9603948,-83.9210261,no data,no data
1,Kykernel.co,no data,no data,Colorado,38.7251776,-105.607716,no data,no data
1,L.A. Weekly,no data,Oregon,United States,43.094585,-124.0330482,no data,no data
1,LAist,Washington,District of Columbia,20068,38.9072,-77.0369,no data,no data
1,LaGrange Daily News,no data,Indiana,no data,41.6372578,-85.4216948,no data,no data
1,Lansing WILX-TV on MSN.com,Lansing,Michigan,no data,42.7337712,-84.5553805,no data,no data
1,Larry Brown Sports,Choctaw,Oklahoma,73020,35.5024309,-97.2739324,no data,no data
1,Lasentinel,Centennial,Colorado,80112,39.5802,-104.9038,no data,no data
1,Leader-News,Port Warwick,Virginia,23606,37.0959668,-76.4903465,no data,no data
1,Lebanon Express,no data,Pennsylvania,no data,40.375713,-76.4626118,no data,no data
1,Lewiston Morning Tribune ,Lewiston,Idaho,83501,46.4195913,-117.0216144,no data,no data
1,Lewiston Sun Journal,Lewiston,Maine,4240,44.0958367,-70.2152117,no data,no data
1,LifeZette,San Francisco,California,94107,37.7803,-122.39,no data,no data
1,LittleThings,Ashburn,Virginia,20149,39.0438,-77.4874,no data,no data
1,Local News 8,High Ridge Township,Missouri,63016,38.373665,-90.6229046,no data,no data
1,Lodi News-Sentinel,Lodi,California,no data,38.1301968,-121.2724473,no data,no data
1,Long Beach Post,no data,Georgia,31316,31.7704898,-81.753725,no data,no data
1,Longmont Times-Call,Longmont,Colorado,80501,40.1672117,-105.101928,no data,no data
1,Longview Daily News,Longview,Texas,no data,32.5007031,-94.74049,no data,no data
1,Los Angeles Daily,Glendale,California,91046,34.1948481,-118.2411125,no data,no data
1,Los Angeles Times on MSN.com,Madison,Wisconsin,53704,43.1420815,-89.33774534,no data,no data
1,Loudwire,New York,New York,10123,40.7128,-74.006,no data,no data
1,Loveland Reporter-Herald,Loveland,Colorado,no data,40.385549,-105.0443613,no data,no data
1,Lubbock Avalanche-Journal,Lubbock,Texas,79401,33.5888556,-101.8473447,6765,no data
1,Lyndy's Sports Annuals,Sports,Texas,no data,30.87287,-95.0815144,no data,no data
1,MEAWW,no data,no data,no data,,,no data,no data
1,MLB.com,Melbourne,Florida,32901,28.1027201,-80.64815801,no data,no data
1,MPNnow.com,Newark,New Jersey,7192,40.738,-74.1634,no data,no data
1,Madison WMTV on MSN.com,Madison,Wisconsin,no data,43.074761,-89.3837613,no data,no data
1,Maine Public,Harpswell,Maine,4079,43.739627,-70.0408974,no data,no data
1,Marketplace,Longview,Texas,no data,32.54370785,-94.74935818,no data,no data
1,Martinsville Bulletin,no data,Martinsville,Virginia,36.6915262,-79.8725386,no data,no data
1,Maryville Daily Times,Maryville,Illinois,62062,38.7236594,-89.9559348,no data,no data
1,Maui Now,no data,Hawaii,United States,20.8029568,-156.3106833,no data,no data
1,Maxim,Howell Township,New Jersey,8776,40.1528917,-74.1815313,no data,no data
1,McAlester News,McAlester,Oklahoma,74501,34.9334981,-95.7697934,no data,no data
1,Meadville Tribune,Meadville,Pennsylvania,16335,41.641445,-80.151449,no data,no data
1,Mercury,Mercury,Nevada,89023,36.6605105,-115.9944747,no data,no data
1,Mercury News on MSN.com,Mercury,Nevada,89023,36.6605105,-115.9944747,no data,no data
1,Meriden Record-Journal,no data,South Central Connecticut Planning Region,Connecticut,41.5381535,-72.8070435,no data,no data
1,Mesabi Daily News,Virginia,Minnesota,55792,47.51744665,-92.54175672,no data,no data
1,Metal Injection.net,Metal Township,Pennsylvania,no data,40.013977,-77.8788865,no data,no data
1,Metro US,no data,Oregon,United States,45.46931025,-122.6174993,no data,no data
1,Metro on MSN.com,no data,Oregon,United States,45.46931025,-122.6174993,no data,no data
1,MiamiHerald.com,Sacramento,California,95816,38.5652,-121.468,no data,no data
1,Midland Daily News,Midland,Michigan,48640,43.61233615,-84.24581826,no data,no data
1,Midwest Communication,Highland Heights,Kentucky,41099,39.0444933,-84.4625894,no data,no data
1,Milford Daily News,no data,South Central Connecticut Planning Region,Connecticut,41.2222218,-73.0570603,no data,no data
1,Milpitas Post,Milpitas,California,95035,37.4235238,-121.9064384,no data,no data
1,Mintpress New,New,Kentucky,no data,38.4278468,-84.8105037,no data,no data
1,Missoulian,Missoula,Montana,59807,46.86651865,-113.9965118,no data,no data
1,Mitchell Daily Republic,no data,Texas,no data,32.2898049,-100.9213003,no data,no data
1,Moneycontrol on MSN.com,Madison,Wisconsin,53704,43.1420815,-89.33774534,no data,no data
1,Monitor,Monitor,Oregon,97362,45.1015099,-122.7481463,no data,no data
1,Montgomery Advertiser on MSN.com,Montgomery,Alabama,no data,32.3669656,-86.3006485,no data,no data
1,Montreal Gazette,Montreal,Wisconsin,no data,46.4280033,-90.2460097,no data,no data
1,Moore American,Pinehurst,North Carolina,28374,35.174414,-79.469915,no data,no data
