year_month,unique_articles
1999-05-01,5101
1999-06-01,4856
1999-07-01,4633
1999-08-01,4799
1999-09-01,4236
1999-10-01,5143
1999-11-01,4408
1999-12-01,4144
2000-01-01,5235
2000-02-01,4847
2000-03-01,4513
2000-04-01,4240
2000-05-01,4542
2000-06-01,4173
2000-07-01,3618
2000-08-01,4027
2000-09-01,4054
2000-10-01,4372
2000-11-01,3533
2000-12-01,3685
2001-01-01,3064
2001-02-01,3146
2001-03-01,3326
2001-04-01,3135
2001-05-01,3178
2001-06-01,2774
2001-07-01,2505
2001-08-01,2666
2001-09-01,1885
2001-10-01,2296
2001-11-01,2291
2001-12-01,2406
2002-01-01,2898
2002-02-01,2310
2002-03-01,2572
2002-04-01,2428
2002-05-01,2904
2002-06-01,2577
2002-07-01,2548
2002-08-01,2371
2002-09-01,2391
2002-10-01,2886
2002-11-01,2544
2002-12-01,2553
2003-01-01,2908
2003-02-01,2846
2003-03-01,2724
2003-04-01,2548
2003-05-01,3360
2003-06-01,2834
2003-07-01,2358
2003-08-01,2500
2003-09-01,2445
2003-10-01,2929
2003-11-01,2573
2003-12-01,2979
2004-01-01,3338
2004-02-01,3194
2004-03-01,3160
2004-04-01,3888
2004-05-01,4891
2004-06-01,4563
2004-07-01,3980
2004-08-01,3842
2004-09-01,3458
2004-10-01,3983
2004-11-01,3193
2004-12-01,3245
2005-01-01,4108
2005-02-01,4190
2005-03-01,4728
2005-04-01,4726
2005-05-01,4254
2005-06-01,3571
2005-07-01,3508
2005-08-01,4082
2005-09-01,3647
2005-10-01,5015
2005-11-01,4250
2005-12-01,3984
2006-01-01,4242
2006-02-01,4079
2006-03-01,4093
2006-04-01,4619
2006-05-01,5270
2006-06-01,5690
2006-07-01,4660
2006-08-01,5044
2006-09-01,4716
2006-10-01,5235
2006-11-01,4350
2006-12-01,4263
2007-01-01,4578
2007-02-01,4629
2007-03-01,4448
2007-04-01,4285
2007-05-01,4742
2007-06-01,4593
2007-07-01,3875
2007-08-01,3960
2007-09-01,4242
2007-10-01,4691
2007-11-01,5069
2007-12-01,4825
2008-01-01,5447
2008-02-01,5231
2008-03-01,6049
2008-04-01,6244
2008-05-01,6145
2008-06-01,6394
2008-07-01,5894
2008-08-01,5676
2008-09-01,4704
2008-10-01,5012
2008-11-01,3849
2008-12-01,3261
2009-01-01,3190
2009-02-01,3043
2009-03-01,3215
2009-04-01,2708
2009-05-01,2811
2009-06-01,3048
2009-07-01,2818
2009-08-01,2736
2009-09-01,2935
2009-10-01,3300
2009-11-01,2671
2009-12-01,2710
2010-01-01,3223
2010-02-01,3074
2010-03-01,3191
2010-04-01,2727
2010-05-01,2896
2010-06-01,2782
2010-07-01,2746
2010-08-01,2967
2010-09-01,3079
2010-10-01,3868
2010-11-01,3976
2010-12-01,3524
2011-01-01,4176
2011-02-01,4620
2011-03-01,4641
2011-04-01,4783
2011-05-01,4392
2011-06-01,3975
2011-07-01,4501
2011-08-01,5176
2011-09-01,3731
2011-10-01,3898
2011-11-01,3659
2011-12-01,3348
2012-01-01,3493
2012-02-01,3284
2012-03-01,3333
2012-04-01,3306
2012-05-01,3351
2012-06-01,2676
2012-07-01,2906
2012-08-01,2925
2012-09-01,3285
2012-10-01,3616
2012-11-01,2865
2012-12-01,3448
2013-01-01,5615
2013-02-01,3405
2013-03-01,3575
2013-04-01,3634
2013-05-01,3200
2013-06-01,2939
2013-07-01,2951
2013-08-01,2886
2013-09-01,3085
2013-10-01,3128
2013-11-01,3385
2013-12-01,3173
2014-01-01,4534
2014-02-01,3438
2014-03-01,3640
2014-04-01,3578
2014-05-01,3186
2014-06-01,3095
2014-07-01,3406
2014-08-01,3015
2014-09-01,3451
2014-10-01,4107
2014-11-01,3489
2014-12-01,3510
2015-01-01,4383
2015-02-01,3459
2015-03-01,3739
2015-04-01,3163
2015-05-01,3022
2015-06-01,2664
2015-07-01,3071
2015-08-01,3159
2015-09-01,3232
2015-10-01,4850
2015-11-01,3049
2015-12-01,3884
2016-01-01,3619
2016-02-01,3289
2016-03-01,3346
2016-04-01,3043
2016-05-01,3152
2016-06-01,2849
2016-07-01,2626
2016-08-01,3023
2016-09-01,3114
2016-10-01,3271
2016-11-01,3618
2016-12-01,3299
2017-01-01,3183
2017-02-01,2858
2017-03-01,3201
2017-04-01,2618
2017-05-01,2867
2017-06-01,4005
2017-07-01,4041
2017-08-01,2370
2017-09-01,2381
2017-10-01,2537
2017-11-01,2568
2017-12-01,2544
2018-01-01,2685
2018-02-01,3530
2018-03-01,2614
2018-04-01,2481
2018-05-01,2685
2018-06-01,2550
2018-07-01,2551
2018-08-01,2625
2018-09-01,2535
2018-10-01,2920
2018-11-01,2459
2018-12-01,2366
2019-01-01,2604
2019-02-01,2491
2019-03-01,2603
2019-04-01,2657
2019-05-01,2853
2019-06-01,2412
2019-07-01,2689
2019-08-01,2358
2019-09-01,2335
2019-10-01,2306
2019-11-01,1853
2019-12-01,2315
2020-01-01,2101
2020-02-01,1929
2020-03-01,1515
2020-04-01,1248
2020-05-01,1393
2020-06-01,1167
2020-07-01,1426
2020-08-01,1481
2020-09-01,1514
2020-10-01,1585
2020-11-01,1316
2020-12-01,1348
2021-01-01,1626
2021-02-01,2071
2021-03-01,2561
2021-04-01,2300
2021-05-01,3026
2021-06-01,3049
2021-07-01,3557
2021-08-01,3207
2021-09-01,3176
2021-10-01,4432
2021-11-01,6873
2021-12-01,5827
2022-01-01,6649
2022-02-01,7121
2022-03-01,10170
2022-04-01,9679
2022-05-01,10661
2022-06-01,11894
2022-07-01,12569
2022-08-01,15463
2022-09-01,12775
2022-10-01,15047
2022-11-01,14897
2022-12-01,10205
2023-01-01,10179
2023-02-01,9562
2023-03-01,10306
2023-04-01,8674
2023-05-01,9585
2023-06-01,7914
2023-07-01,7600
2023-08-01,8168
2023-09-01,7876
2023-10-01,8134
2023-11-01,8544
2023-12-01,7266
2024-01-01,7954
2024-02-01,7526
2024-03-01,8684
2024-04-01,8340
2024-05-01,8809
2024-06-01,7653
2024-07-01,8603
2024-08-01,9648
2024-09-01,9271
2024-10-01,10302
2024-11-01,9798
2024-12-01,7063
2025-01-01,7811
2025-02-01,7138
2025-03-01,7680
2025-04-01,7884
2025-05-01,6885
2025-06-01,5205
2025-07-01,234
